Site ID,Start date,End date
D13,2011-12-29,2011-12-29
D13,2012-02-07,2012-04-22
D13,2012-05-20,2012-08-01
D13,2012-10-05,2012-12-10
D13,2012-12-11,2013-02-04
D13,2013-02-10,2013-02-21
E01,2010-08-31,2010-09-07
E01,2011-02-24,2011-04-09
E01,2011-05-10,2011-07-28
E01,2011-12-31,2012-03-01
E01,2012-03-05,2012-05-01
E01,2012-05-11,2012-05-17
E01,2012-07-21,2013-01-29
E02,2010-07-18,2010-07-18
E02,2010-08-11,2010-09-03
E02,2010-10-13,2010-11-02
E02,2011-02-09,2011-03-19
E02,2011-05-10,2011-07-28
E02,2011-10-29,2012-02-25
E02,2012-05-11,2012-06-21
E02,2013-01-29,2013-03-21
E03,2010-07-20,2010-08-07
E03,2010-08-09,2010-08-10
E03,2010-08-14,2010-08-16
E03,2010-09-20,2010-11-02
E03,2011-02-11,2011-06-11
E03,2011-08-30,2011-10-29
E03,2011-12-30,2012-02-17
E03,2012-03-06,2012-05-10
E03,2012-05-11,2012-06-07
E03,2012-07-21,2012-10-27
E03,2013-02-10,2013-04-06
E04,2010-07-20,2010-08-19
E04,2010-09-01,2010-09-12
E04,2011-04-12,2011-07-21
E04,2011-08-30,2012-02-05
E04,2012-03-06,2012-04-27
E04,2012-05-21,2013-01-17
E04,2013-02-10,2013-02-14
E05,2010-07-20,2010-07-24
E05,2010-08-06,2010-11-02
E05,2011-03-02,2011-05-05
E05,2011-06-14,2011-07-05
E05,2011-08-30,2013-04-13
E06,2010-07-21,2010-11-04
E06,2011-03-03,2011-07-18
E06,2012-02-07,2012-04-28
E06,2013-01-22,2013-01-22
E07,2010-09-18,2010-09-30
E07,2011-03-04,2011-04-01
E08,2010-07-23,2010-07-29
E08,2010-08-08,2010-11-01
E08,2011-03-04,2011-04-28
E08,2011-05-13,2011-07-27
E08,2011-10-24,2011-12-28
E08,2011-12-29,2012-05-15
E08,2012-05-21,2012-07-26
E08,2012-10-01,2012-10-01
E08,2013-01-22,2013-01-24
E09,2010-07-23,2010-11-01
E09,2011-03-04,2011-06-19
E09,2011-10-24,2011-12-29
E09,2012-05-21,2012-08-23
E09,2012-09-12,2012-12-03
E09,2013-01-22,2013-04-14
E10,2010-09-08,2010-10-13
E10,2011-02-14,2011-05-07
E10,2011-05-26,2011-05-31
E10,2011-10-24,2011-12-20
E10,2011-12-29,2012-04-19
E10,2012-05-21,2012-06-11
E10,2012-08-04,2012-08-07
E10,2012-12-08,2012-12-13
E10,2013-01-30,2013-04-14
E11,2010-09-08,2010-09-24
E11,2011-03-04,2011-06-04
E11,2011-10-24,2011-11-08
E11,2011-12-29,2012-04-14
