Site ID,Start date,End date
N03,2013-02-21,2013-03-07
N04,2010-09-11,2010-11-07
N04,2011-02-10,2011-07-26
N04,2011-09-06,2011-11-02
N04,2012-03-19,2013-04-09
N05,2010-09-11,2010-09-25
N05,2011-02-28,2011-07-30
N05,2011-09-06,2011-11-03
N05,2012-01-04,2012-05-22
N05,2012-05-26,2013-04-17
N06,2010-09-03,2010-11-07
N06,2011-03-07,2011-06-09
N06,2011-06-14,2011-07-25
N06,2011-09-06,2012-10-26
N06,2012-12-19,2013-03-23
N07,2011-09-10,2011-11-11
N08,2010-09-03,2010-11-08
N08,2011-03-08,2011-05-29
N08,2011-06-16,2011-07-31
N08,2011-09-10,2013-03-21
N09,2011-03-10,2011-08-05
N09,2011-09-25,2011-11-24
N09,2012-01-12,2012-09-17
N09,2012-10-26,2013-04-24
N10,2010-09-10,2010-10-14
N10,2010-10-18,2010-11-04
N10,2011-02-18,2011-05-08
N10,2012-03-02,2012-05-26
N10,2012-06-11,2012-09-30
N10,2012-10-27,2012-12-15
N11,2010-09-19,2010-11-03
N11,2011-03-22,2011-06-11
N11,2012-03-02,2012-04-25
N11,2012-05-02,2012-06-03
N11,2012-07-26,2012-08-24
N11,2012-09-21,2013-01-27
N11,2013-02-02,2013-04-21
N12,2010-09-19,2010-09-28
N12,2012-03-02,2012-03-10
N12,2012-05-02,2012-09-24
N12,2012-11-20,2013-02-02
N13,2012-03-02,2012-03-12
N13,2012-07-26,2012-08-01
N13,2012-09-21,2012-12-26
N13,2013-02-01,2013-02-11
O03,2012-05-26,2012-05-26
O04,2011-09-06,2011-11-03
O04,2012-03-18,2012-03-30
O04,2012-05-25,2012-06-18
O04,2012-08-10,2012-08-25
O04,2012-10-19,2012-11-05
O04,2012-12-16,2012-12-24
O04,2013-02-23,2013-04-17
O05,2010-09-11,2010-09-25
O05,2011-02-10,2011-02-28
O05,2011-09-10,2011-10-20
O05,2013-02-26,2013-04-17
O06,2010-09-11,2010-11-08
O06,2011-03-07,2011-07-30
O06,2011-09-10,2012-08-06
O06,2012-08-16,2013-04-21
O07,2010-09-03,2010-09-26
O07,2011-02-17,2011-03-02
O07,2011-05-04,2011-07-05
O07,2011-09-10,2012-04-30
O07,2012-08-16,2013-02-28
O08,2010-09-04,2010-10-19
O08,2011-02-16,2011-04-28
O08,2011-05-04,2011-07-31
O08,2011-09-10,2012-01-08
O08,2012-07-20,2012-09-14
O08,2012-10-26,2013-04-21
O09,2011-03-10,2011-07-21
O09,2011-11-11,2012-01-12
O09,2012-02-24,2012-05-10
O09,2012-06-11,2013-02-06
O09,2013-03-28,2013-05-19
O10,2010-09-03,2010-10-14
O10,2011-03-10,2011-04-25
O10,2011-05-04,2011-08-05
O10,2011-09-17,2012-07-12
O10,2012-09-06,2013-04-21
O11,2010-09-03,2010-10-19
O11,2012-03-02,2012-03-04
O11,2012-05-04,2012-05-10
O11,2013-02-02,2013-02-06
O12,2011-02-18,2011-02-22
O12,2011-03-22,2011-05-18
O12,2012-03-02,2012-03-09
O12,2012-05-04,2012-05-30
O12,2012-07-26,2012-08-01
O12,2012-09-21,2012-09-27
O12,2012-11-20,2012-12-04
O12,2013-02-01,2013-03-07
O13,2012-03-02,2012-03-06
O13,2012-07-26,2012-08-29
O13,2012-09-21,2012-09-26
O13,2013-02-01,2013-02-26
P03,2012-05-26,2012-10-11
P03,2012-10-20,2012-12-01
P03,2012-12-16,2012-12-28
P03,2013-02-21,2013-04-09
P04,2011-09-06,2011-11-03
P04,2012-03-19,2013-02-19
P04,2013-02-21,2013-02-25
P05,2011-09-10,2011-12-14
P05,2012-08-11,2012-12-10
P05,2012-12-16,2013-04-17
P06,2010-09-11,2010-10-01
P06,2011-02-17,2011-07-30
P06,2011-09-10,2012-01-05
P07,2010-09-03,2010-11-08
P07,2011-02-16,2011-04-27
P07,2011-05-04,2011-07-30
P07,2011-09-10,2012-01-17
P07,2012-03-07,2013-03-21
P08,2010-09-03,2010-11-08
P08,2011-03-08,2011-04-04
P08,2011-09-10,2012-01-08
P08,2012-03-07,2013-02-23
P09,2010-09-20,2010-10-19
P09,2011-03-10,2011-07-23
P09,2011-09-17,2011-11-10
P09,2011-11-11,2012-01-09
P09,2012-03-07,2012-03-12
P10,2010-09-03,2010-11-09
P10,2011-02-18,2011-02-22
P10,2011-03-10,2011-06-16
P10,2011-09-17,2012-02-20
P10,2012-02-24,2012-04-13
P10,2012-05-03,2012-10-21
P10,2012-11-20,2012-11-21
P10,2013-02-03,2013-04-21
P11,2010-09-19,2010-10-19
P11,2011-02-18,2011-03-11
P11,2011-05-06,2011-08-07
P11,2012-05-04,2012-05-24
P12,2012-03-02,2012-04-28
P12,2012-05-04,2012-08-18
P12,2012-09-21,2012-10-05
P12,2012-11-20,2012-12-16
P12,2013-02-02,2013-02-13
P13,2011-03-22,2011-08-06
P13,2012-05-02,2013-03-21
Q04,2012-05-26,2012-09-02
Q04,2012-10-20,2013-01-03
Q04,2013-02-21,2013-03-13
Q05,2011-09-10,2011-11-08
Q05,2012-01-04,2012-09-28
Q05,2012-10-20,2013-02-13
Q05,2013-02-26,2013-04-17
Q06,2011-09-10,2012-03-20
Q07,2010-09-11,2010-11-08
Q07,2011-03-07,2011-08-05
Q07,2011-09-17,2012-12-20
Q07,2013-02-27,2013-04-17
Q08,2010-09-12,2010-11-09
Q08,2011-02-17,2011-08-05
Q08,2011-09-17,2012-06-30
Q08,2012-07-29,2013-02-11
Q08,2013-02-27,2013-03-22
Q09,2010-09-12,2010-10-19
Q09,2011-03-08,2011-08-05
Q09,2011-09-17,2012-02-04
Q09,2013-02-28,2013-03-08
Q10,2010-09-20,2010-11-09
Q10,2011-02-17,2011-05-04
Q10,2012-03-07,2012-05-05
Q10,2013-02-03,2013-04-21
Q11,2010-09-19,2010-11-09
Q11,2011-02-17,2011-03-09
Q11,2012-03-07,2012-12-07
Q12,2010-09-19,2010-10-18
Q12,2011-02-17,2011-02-19
Q12,2012-03-02,2012-03-09
Q12,2012-05-04,2012-10-09
Q12,2012-11-09,2012-11-15
Q12,2013-01-14,2013-01-20
Q13,2011-02-17,2011-02-24
Q13,2012-07-26,2012-08-07
Q13,2012-09-21,2012-10-01
Q13,2012-11-20,2012-11-30
R05,2013-02-26,2013-04-17
R06,2011-09-10,2012-05-19
R06,2012-06-10,2013-02-22
R06,2013-02-26,2013-04-17
R07,2010-09-11,2010-09-29
R07,2011-02-15,2011-04-25
R07,2011-05-04,2011-08-05
R07,2011-09-17,2011-11-07
R07,2012-03-07,2012-07-29
R07,2012-09-29,2012-10-02
R07,2012-12-03,2012-12-07
R07,2013-02-27,2013-02-27
R08,2010-09-11,2010-09-13
R08,2011-03-07,2011-07-29
R08,2011-09-17,2011-10-22
R08,2011-11-09,2011-11-29
R08,2012-01-07,2012-01-12
R08,2012-02-04,2012-02-11
R08,2012-05-03,2012-05-06
R08,2013-02-27,2013-04-17
R09,2010-09-12,2010-11-09
R09,2011-03-08,2011-07-07
R09,2011-09-17,2012-01-14
R09,2012-03-07,2012-04-14
R09,2013-02-28,2013-04-21
R10,2010-09-20,2010-11-09
R10,2012-03-07,2012-03-17
R11,2010-09-20,2010-11-09
R11,2012-03-07,2012-03-19
R12,2010-09-20,2010-11-08
R12,2013-02-03,2013-02-19
R13,2012-03-02,2012-03-18
R13,2012-07-26,2012-07-30
R13,2012-09-21,2012-09-22
R13,2013-02-02,2013-03-01
S07,2011-09-17,2012-01-07
S07,2012-03-07,2012-11-27
S07,2012-12-03,2013-04-17
S08,2010-09-11,2010-10-08
S08,2011-03-07,2011-07-03
S08,2011-09-17,2013-02-24
S08,2013-02-27,2013-04-17
S09,2010-09-12,2010-11-08
S09,2011-03-07,2011-06-10
S09,2011-09-17,2012-01-12
S09,2012-03-07,2013-04-21
S10,2010-09-12,2010-10-19
S10,2011-02-17,2011-03-07
S10,2011-05-05,2011-08-06
S10,2011-09-17,2012-07-29
S11,2010-09-20,2010-10-19
S11,2011-02-17,2011-02-28
S11,2011-03-10,2011-03-11
S11,2011-05-05,2011-05-14
S11,2011-09-17,2012-04-15
S11,2013-02-03,2013-04-16
S12,2010-09-20,2010-10-18
S12,2011-03-22,2011-08-06
S12,2012-02-07,2012-03-09
S12,2012-05-03,2012-05-12
S12,2013-02-03,2013-04-22
S13,2010-09-20,2010-10-18
S13,2011-02-17,2011-04-05
S13,2012-02-08,2012-04-06
S13,2012-05-02,2012-06-19
S13,2012-06-30,2012-07-01
S13,2012-09-04,2012-09-04
S13,2013-01-14,2013-01-17
S13,2013-02-27,2013-04-04
T08,2011-09-17,2012-01-07
T08,2012-03-07,2013-04-17
T09,2010-09-12,2010-10-19
T09,2011-02-17,2011-08-04
T09,2011-09-17,2012-01-07
T09,2012-03-07,2012-06-08
T09,2012-06-30,2013-01-12
T09,2013-01-16,2013-04-17
T10,2010-09-12,2010-11-08
T10,2011-03-08,2011-08-06
T10,2011-09-17,2012-01-12
T10,2012-02-24,2013-01-12
T10,2013-01-14,2013-04-11
T11,2010-09-20,2010-10-19
T11,2011-02-17,2011-08-06
T11,2012-02-25,2012-06-27
T11,2012-06-30,2012-12-12
T11,2013-01-14,2013-04-22
T12,2010-09-20,2010-10-17
T12,2011-02-17,2011-05-05
T12,2012-03-02,2013-04-22
T13,2010-09-12,2010-10-07
T13,2012-03-02,2012-04-09
T13,2012-05-02,2012-06-30
T13,2012-09-04,2012-09-12
T13,2012-11-09,2012-11-13
T13,2013-01-14,2013-01-18
T13,2013-02-27,2013-04-18
U09,2010-09-12,2010-10-19
U09,2011-03-07,2011-05-05
U09,2012-02-24,2013-04-17
U10,2011-03-08,2011-05-05
U10,2011-09-17,2013-04-18
U11,2010-09-12,2010-10-19
U11,2011-03-10,2011-04-04
U11,2011-05-05,2011-08-06
U11,2012-02-25,2012-03-27
U11,2012-04-07,2012-04-29
U11,2013-02-27,2013-04-18
U12,2010-09-20,2010-09-24
U12,2012-02-07,2012-04-06
U12,2012-04-07,2013-03-07
U13,2010-09-20,2010-10-17
U13,2011-02-17,2011-08-06
U13,2012-02-08,2012-06-30
U13,2012-09-04,2012-09-28
U13,2012-11-09,2012-11-12
U13,2013-01-14,2013-01-27
U13,2013-02-27,2013-03-17
V10,2010-09-12,2010-11-08
V10,2011-02-17,2011-05-04
V10,2011-05-05,2011-08-06
V10,2012-05-03,2012-09-04
V10,2012-09-22,2012-11-09
V10,2013-01-14,2013-03-10
V11,2011-02-17,2011-05-05
V12,2010-09-12,2010-09-15
V13,2010-09-13,2010-09-25
V13,2011-03-10,2011-06-18
